hour,timestamp,OEE,availability,performance,quality,throughput,raw_inventory,wip,finished,energy_price,temp,humidity,voltage,available_workers,fatigue,maintenance,downtime,MTBF,shift
0,2023-01-01 00:00:00,0.6242302169930488,1.0,0.734479330873207,0.8498948721278714,293,565.6,293,0.0,45.382806394607336,5.0025142257933615,55.252749752965684,1.0,2,1.2297030691684714,0,0,1.0,0
1,2023-01-01 01:00:00,0.5044515040528952,1.0,0.6286440311444919,0.8024437981770142,248,367.20000000000005,541,0.0,50.955066782687595,5.07202012933503,52.68878953431986,0.9869402159154067,2,1.4187099784718313,0,0,2.0,0
2,2023-01-01 02:00:00,0.6363429691934228,1.0,0.7444513332400362,0.8547811532876178,294,132.00000000000003,835,0.0,45.324795197676735,5.0,47.77712372652693,0.9885207535070804,2,1.1978286437208998,0,0,3.0,0
3,2023-01-01 03:00:00,0.5502940029967107,1.0,0.6717717293515717,0.8191681473822701,165,0.0,707,293.0,44.045082983249266,5.0,44.58586176256205,0.9835186655397399,2,1.3199194120100106,0,0,4.0,0
4,2023-01-01 04:00:00,0.6201454296311918,1.0,0.7310982566857436,0.8482381457760144,0,0.0,459,541.0,41.147145372052464,8.26973330308364,47.46505518110869,0.9813732881066529,2,1.2731764242141668,0,0,5.0,0
5,2023-01-01 05:00:00,0.5880058673687191,1.0,0.7041644298939723,0.8350405706480466,0,0.0,165,835.0,52.04995571837062,9.359458599561899,52.549767396042235,0.991200165271236,2,1.3494603843726127,0,0,6.0,0
6,2023-01-01 06:00:00,0.8484766614740793,1.0,0.9076878288230272,0.9347670361232833,0,0.0,0,1000.0,56.58197600730909,9.52083332744897,46.8980785317637,0.9913230407571972,4,1.0473952035977807,0,0,7.0,1
7,2023-01-01 07:00:00,0.5131003471116121,1.0,0.6388898921952484,0.8031123255817697,0,0.0,0,1000.0,66.18359396902568,10.785735311350273,52.143549331678756,0.9988493072670717,4,1.5096508769081094,0,0,8.0,1
8,2023-01-01 08:00:00,0.8012151539275678,1.0,0.8730014447185109,0.9177707079120703,0,0.0,0,1000.0,53.363763363924114,14.783882815989838,52.061334901987145,1.008305493773899,4,1.1061763956460344,0,0,9.0,1
9,2023-01-01 09:00:00,0.9797146679839805,1.0,0.999805884027405,0.9799048831734284,0,0.0,0,1000.0,50.271885860432185,16.157833505190187,53.605007032186414,1.0011269384969264,4,0.9559289779268527,0,0,10.0,1
10,2023-01-01 10:00:00,0.8556676753042688,1.0,0.9128908527715248,0.9373165178580471,0,0.0,0,1000.0,37.70101964630436,16.736436916707678,43.21676682148708,1.00101955047592,4,1.0565611613975416,0,0,11.0,1
11,2023-01-01 11:00:00,0.9800000000000001,1.0,1.0,0.9800000000000001,0,0.0,0,1000.0,43.92848215974981,17.652667675954188,43.27309831982045,0.9992341772850127,4,0.7994447199092779,0,0,12.0,1
12,2023-01-01 12:00:00,0.8032260659475134,1.0,0.8744951325052555,0.9185026149275751,0,0.0,0,1000.0,50.13758464718528,19.181680521999542,52.207888456363925,0.990963765156981,4,1.09161537078706,0,0,13.0,1
13,2023-01-01 13:00:00,0.7960301458094465,1.0,0.8691425484508406,0.9158798487409119,0,0.0,0,1000.0,47.01597988034856,17.67281441204728,45.63856994106895,0.9902498388311793,4,1.0968814838560261,0,0,14.0,1
14,2023-01-01 14:00:00,0.8402884530589995,1.0,0.9017397739944307,0.9318524892572713,0,0.0,0,1000.0,44.90097720235284,18.43656314195302,47.802627003634015,0.9970719729216643,3,1.0638680738883939,0,0,15.0,2
